symbol,company_name,sector,industry,data_date,open_price,high_price,low_price,close_price,volume,sma_7,ema_21,rsi_14,macd,micro_pe,micro_pb,micro_roe,micro_roa,micro_eps,micro_eps_ttm,micro_de,micro_current_ratio,micro_quick_ratio,micro_gross_margin,micro_net_profit_margin,macro_vnindex_open,macro_vnindex_high,macro_vnindex_low,macro_vnindex_close,macro_vnindex_volume,macro_vn30_open,macro_vn30_high,macro_vn30_low,macro_vn30_close,macro_vn30_volume,macro_hnxindex_open,macro_hnxindex_high,macro_hnxindex_low,macro_hnxindex_close,macro_hnxindex_volume,macro_upcomindex_open,macro_upcomindex_high,macro_upcomindex_low,macro_upcomindex_close,macro_upcomindex_volume,news_headlines,event_headlines
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-13,87.500000,88.700000,86.200000,87.100000,6657100,87.728571,86.128403,54.801304,1.406537,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1873.930000,1910.690000,1871.790000,1902.930000,1343676537,2075.980000,2100.620000,2056.300000,2089.210000,592280323,252.980000,254.290000,251.870000,252.850000,109616749,122.710000,124.120000,122.710000,123.860000,97694911,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-14,87.100000,87.300000,85.100000,86.000000,6951400,87.528571,86.116730,51.272468,1.217740,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1910.320000,1918.460000,1870.870000,1894.440000,1423913258,2097.140000,2097.530000,2045.610000,2067.100000,688532780,253.170000,254.590000,251.380000,253.320000,129975542,123.840000,125.970000,123.340000,125.110000,95755791,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-15,85.000000,86.900000,84.000000,84.000000,7636600,86.842857,85.924300,45.531625,0.896400,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1883.700000,1884.190000,1845.950000,1864.800000,1237786766,2060.900000,2063.220000,2021.640000,2047.480000,616938693,253.700000,254.130000,249.590000,253.160000,86944717,125.140000,126.710000,125.140000,126.320000,90183401,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-16,83.800000,87.400000,83.800000,87.000000,7671600,86.442857,86.022091,53.874382,0.873739,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1875.140000,1901.220000,1874.600000,1879.130000,1021323506,2058.640000,2098.660000,2058.400000,2080.350000,476548553,253.550000,255.350000,251.710000,252.280000,103418768,126.690000,127.940000,126.340000,126.560000,125375800,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-19,87.400000,87.400000,85.500000,86.700000,3055300,86.328571,86.083719,53.000149,0.822096,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1894.670000,1898.240000,1874.690000,1896.590000,1163188480,2104.310000,2104.310000,2077.610000,2094.240000,669817513,252.890000,255.570000,252.890000,254.950000,96487960,126.910000,127.000000,125.990000,126.510000,72275844,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-20,86.700000,88.300000,86.000000,86.000000,6841300,86.328571,86.076108,50.923678,0.716426,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1904.580000,1915.110000,1884.600000,1893.780000,1078094824,2098.970000,2112.710000,2074.760000,2085.610000,508736528,255.410000,256.900000,252.910000,253.110000,90030678,126.540000,127.130000,126.090000,126.450000,76540989,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-21,85.900000,85.900000,84.400000,85.400000,5383600,86.028571,86.014644,49.146309,0.577608,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1876.960000,1894.220000,1859.250000,1885.440000,1204631813,2069.820000,2090.970000,2060.490000,2080.380000,477254802,252.900000,253.390000,249.930000,252.660000,115760980,126.900000,126.900000,125.210000,126.320000,58892049,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-22,85.000000,86.600000,85.000000,86.500000,5450600,85.942857,86.058767,52.424734,0.550015,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1895.080000,1904.560000,1874.810000,1882.730000,1058940345,2086.170000,2099.520000,2071.960000,2082.350000,429880980,253.460000,258.430000,252.350000,258.430000,117314098,126.460000,128.070000,126.460000,127.440000,59810168,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-23,86.600000,87.700000,85.800000,85.800000,6722800,85.914286,86.035243,50.206572,0.466287,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1890.390000,1898.830000,1866.870000,1870.790000,888764058,2092.660000,2101.220000,2072.680000,2077.760000,386506386,258.490000,258.760000,252.130000,252.960000,92329096,127.650000,128.340000,126.440000,126.800000,78816329,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-26,85.800000,85.900000,83.900000,84.100000,6030600,85.928571,85.859312,45.204247,0.259763,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1876.810000,1879.450000,1833.210000,1843.720000,1112553302,2079.790000,2080.310000,2024.230000,2032.280000,430541980,252.740000,253.620000,246.460000,247.300000,90596848,126.260000,127.840000,125.890000,126.430000,50837142,,
